Kode Saham;Nama Perusahaan;Open Price;Tertinggi;Terendah;Penutupan;Selisih;Volume;Nilai;Frekuensi;Offer;Offer Volume;Bid;Bid Volume;Listed Shares;Tradeble Shares
AADI;Adaro Andalan Indonesia Tbk.;10350;10450;10125;10450;325;17705800;1,82854E+11;7458;10450;925900;10200;2100;7786891760;7786891760
AALI;Astra Agro Lestari Tbk.;7825;8000;7775;7950;125;2621000;20797655000;1716;7975;9800;7950;5600;1924688333;1924688333
ABBA;Mahaka Media Tbk.;0;44;40;40;-4;1443800;58010400;129;40;111200;0;0;3935892857;3935892857
ABDA;Asuransi Bina Dana Arta Tbk.;0;2600;2460;2460;0;1900;4926000;6;2600;27500;2460;1400;620806680;620806680
ABMM;ABM Investama Tbk.;3150;3150;3080;3090;10;1082400;3368734000;681;3100;33600;3090;26000;2753165000;2753165000
ACES;Aspirasi Hidup Indonesia Tbk.;356;358;352;354;-2;28461300;10103134000;2872;356;347800;352;2386000;17120389700;17120389700
ACRO;Samcro Hyosung Adilestari Tbk.;75;75;74;75;0;1944400;144797100;369;75;154900;74;132000;3469345537;749273042
ACST;Acset Indonusa Tbk.;0;91;90;90;0;1402700;126298500;142;90;244600;89;22600;17675160000;17675160000
ADCP;Adhi Commuter Properti Tbk.;50;50;50;50;0;395400;19770000;84;50;6950000;0;0;22222222200;22222222200
ADES;Akasha Wira International Tbk.;16475;16900;16450;16675;-75;11600;192512500;57;16675;2900;16650;600;589896800;589896800
ADHI;Adhi Karya (Persero) Tbk.;183;185;180;185;1;5851500;1066792500;1247;186;193400;185;446500;8407608979;8407608979
ADMF;Adira Dinamika Multi Finance Tbk.;9000;9075;9000;9050;50;480700;4341562500;739;9075;54700;9050;38300;1235803109;1235803109
ADMG;Polychem Indonesia Tbk;0;202;198;200;0;178900;35747500;67;200;53800;199;1000;3889179559;3889179559
ADMR;Alamtri Minerals Indonesia Tbk.;1790;1850;1780;1840;60;41071200;74808531000;11016;1845;1831900;1840;451000;40882331500;40882331500
ADRO;Alamtri Resources Indonesia Tbk.;2460;2480;2430;2480;40;68319200;1,68389E+11;18738;2480;4458900;2470;26600;29389689400;29389689400
AEGS;Anugerah Spareparts Sejahtera Tbk.;0;52;48;49;-2;3155500;155454300;373;50;1315300;49;334100;1006080721;1006080721
AGAR;Asia Sejahtera Mina Tbk.;228;230;216;220;2;42600;9476000;59;224;10000;220;1100;1000000000;1000000000
AGII;Samator Indo Gas Tbk.;3300;3320;3210;3210;-120;743800;2419455000;764;3240;1000;3210;11100;3066660000;3066660000
AGRO;Bank Raya Indonesia Tbk.;173;174;171;171;-2;7750500;1330643900;726;172;28800;171;253000;24493093216;24493093216
AGRS;Bank IBK Indonesia Tbk.;70;70;68;69;-1;1636700;112917400;207;69;703600;68;1356700;47367057874;47367057874
AHAP;Asuransi Harta Aman Pratama Tbk.;117;125;116;123;5;30866900;3738440200;1727;124;804600;123;1723600;4900000000;4900000000
AIMS;Artha Mahiya Investama Tbk.;438;452;430;446;6;1507600;670923600;596;448;9800;446;5000;220000000;220000000
AISA;FKS Food Sejahtera Tbk.;132;132;126;128;-3;3760200;479811200;624;129;79800;128;2600;9311800000;9311800000
AKKU;Anugerah Kagum Karya Utama Tbk.;0;0;0;38;0;0;0;0;0;0;0;0;6449463636;6449463636
AKPI;Argha Karya Prima Industry Tbk.;484;498;484;496;0;253000;124808400;68;496;193800;492;1500;612248000;612248000
AKRA;AKR Corporindo Tbk.;1415;1440;1400;1440;50;40543900;57945513500;5405;1440;130900;1435;25000;20073474600;20073474600
AKSI;Mineral Sumberdaya Mandiri Tbk.;268;276;268;270;2;92300;25063000;66;272;36600;270;3600;720000000;720000000
ALDO;Alkindo Naratama Tbk.;0;580;555;575;-5;276800;155894500;109;575;7100;560;600;2700713744;2700713744
ALII;Ancara Logistics Indonesia Tbk.;830;875;805;840;5;2545900;2176698000;687;840;31800;835;123000;15825800000;15825800000
ALKA;Alakasa Industrindo Tbk;725;755;710;720;5;655000;473567500;627;720;12400;715;4200;507665055;507665055
ALMI;Alumindo Light Metal Industry Tbk.;0;0;0;74;0;0;0;0;0;0;0;0;3816000000;3816000000
ALTO;Tri Banyan Tirta Tbk.;0;0;0;18;0;0;0;0;0;0;0;0;2191870558;2191870558
AMAG;Asuransi Multi Artha Guna Tbk.;450;450;426;446;22;168600;74556800;69;446;13300;440;300;5001552516;5001552516
